Vendor,DeviceType,SerialNumber,HostName,AssetTag,PartID,FutureLocation,DateReceived,CurrentLocation,Status,BackOrdered,Notes,ProductDescription,Ready,LegacyDevice,Modified,Created,CreatedBy,ModifiedBy,PendingDeletion,DeletionApproved
Vendor A,Laptop,SN027,HOST-027,AT-027,P027,Store B,1/2/2024 0:00,Warehouse A,Active,FALSE,Initial stock,High-end Laptop,TRUE,FALSE,1/5/2024 0:00,1/1/2024 0:00,John Doe,Admin,FALSE,FALSE
Vendor B,Desktop,SN028,HOST-028,AT-028,P028,Store C,1/4/2024 0:00,Warehouse B,Inactive,TRUE,Pending,Basic Desktop,FALSE,TRUE,1/6/2024 0:00,1/3/2024 0:00,Jane Smith,Admin,FALSE,FALSE
Vendor A,Laptop,SN029,HOST-029,AT-029,P029,Store B,1/2/2024 0:00,Warehouse A,Active,FALSE,Initial stock,High-end Laptop,TRUE,FALSE,1/5/2024 0:00,1/1/2024 0:00,John Doe,Admin,FALSE,FALSE
Vendor B,Laptop,SN030,HOST-029,AT-030,P030,Store D,1/2/2024 0:00,Warehouse A,Active,TRUE,Pending,High-end Laptop,TRUE,TRUE,1/5/2024 0:00,1/1/2024 0:00,John Doe,Admin,FALSE,FALSE
Vendor A,Laptop,SN031,HOST-021,AT-031,P031,Store B,1/2/2024 0:00,Warehouse A,Inactive,FALSE,Initial Stock,High-end Laptop,FALSE,FALSE,1/6/2024 0:00,1/3/2024 0:00,Jane Smith,Admin,FALSE,FALSE
Vendor B,Laptop,SN032,HOST-022,AT-032,P032,Store C,1/4/2024 0:00,Warehouse A,Inactive,FALSE,Pending,High-end Laptop,TRUE,TRUE,1/5/2024 0:00,1/1/2024 0:00,Jane Smith,Admin,FALSE,FALSE
Vendor A,Laptop,SN033,HOST-023,AT-033,P033,Store B,1/2/2024 0:00,Warehouse A,Inactive,FALSE,Initial Stock,Basic Desktop,TRUE,TRUE,1/6/2024 0:00,1/3/2024 0:00,Jane Smith,Admin,FALSE,FALSE
Vendor B,Laptop,SN034,HOST-024,AT-034,P034,Store C,1/4/2024 0:00,Warehouse B,Active,FALSE,Pending,Basic Desktop,TRUE,FALSE,1/5/2024 0:00,1/1/2024 0:00,Jane Smith,Admin,FALSE,FALSE
Vendor A,Laptop,SN035,HOST-025,AT-035,P035,Store B,1/2/2024 0:00,Warehouse A,Active,TRUE,Initial Stock,High-end Laptop,FALSE,FALSE,1/6/2024 0:00,1/3/2024 0:00,Jane Smith,Admin,FALSE,FALSE
Vendor B,Desktop,SN036,HOST-026,AT-036,P036,Store C,1/4/2024 0:00,Warehouse A,Inactive,FALSE,Initial Stock,Basic Desktop,TRUE,FALSE,1/5/2024 0:00,1/1/2024 0:00,Jane Smith,Admin,FALSE,FALSE
